BudgetNo;Description;Tahun; Ol 1 AI ;;;;Sisa Budget;; Project ;;
ASKI2020-040;FACE MASK;2020; -   ; IDR ;08/07/2020 10:11;PROJECT;-70.000.000;;FACE MASK;;08/07/2020 10:11
ASKI2020-041;Carry Forward 2019;2020; -   ; IDR ;08/07/2020 10:11;;-767.552.532;;Carry Forward 2019;;08/07/2020 10:11
ASKI2020-042;Centralize Conveyor System at PI;2020;16.474.000.000; IDR ;08/07/2020 10:11;PLANTAUTO;15.774.000.000;;Automation plant 1;;08/07/2020 10:11
ASKI2020-043;Prep Delivery Conveying System;2020;2.538.000.000; IDR ;08/07/2020 10:11;PLANTAUTO;2.538.000.000;;Automation plant 1;;08/07/2020 10:11
ASKI2020-044;Automation Mirror 2W (1line);2020;4.555.000.000; IDR ;08/07/2020 10:11;PLANTAUTO;1.296.500.000;;Automation plant 2;;08/07/2020 10:11
ASKI2020-045;AGV (assy mirror 4W & Seat 2W);2020;1.450.000.000; IDR ;08/07/2020 10:11;PLANTAUTO;1.450.000.000;;Automation plant 2;;08/07/2020 10:11
ASKI2020-046;Automation Mirror 4W;2020;4.470.000.000; IDR ;08/07/2020 10:11;PLANTAUTO;4.470.000.000;;Automation plant 2;;08/07/2020 10:11
ASKI2020-047;Automation Seat 2W;2020;3.146.000.000; IDR ;08/07/2020 10:11;PLANTAUTO;2.540.560.000;;Automation plant 2;;08/07/2020 10:11
ASKI2020-048;SQL server plant 1 & plant 2;2020;2.300.000.000; IDR ;08/07/2020 10:11;DIGITAL;2.300.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-049;Auto GR GI Matkomp (all plant);2020;540.000.000; IDR ;08/07/2020 10:11;DIGITAL;540.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-050;Supplier portal (all plant);2020;; IDR ;08/07/2020 10:11;DIGITAL;0;;Digitalization;;08/07/2020 10:11
ASKI2020-051;Start stop mesin plant 1;2020;832.000.000; IDR ;08/07/2020 10:11;DIGITAL;832.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-052;Auto GR FG and auto DN (all plant);2020;462.000.000; IDR ;08/07/2020 10:11;DIGITAL;462.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-053;Develop advance planning and scheduling (MES) plant 1 & plant 2;2020;1.200.000.000; IDR ;08/07/2020 10:11;DIGITAL;1.200.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-054;Upload planning to SAP (auto create PRO);2020;41.000.000; IDR ;08/07/2020 10:11;DIGITAL;41.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-055;Online production performance (all plant);2020;30.000.000; IDR ;08/07/2020 10:11;DIGITAL;30.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-056;Online delivery control (all plant);2020;9.000.000; IDR ;08/07/2020 10:11;DIGITAL;9.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-057;Online report quality performance (all plant);2020;20.000.000; IDR ;08/07/2020 10:11;DIGITAL;20.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-058;Moldshop visualisasi data (plant 1);2020;9.000.000; IDR ;08/07/2020 10:11;DIGITAL;9.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-059;Visualisasi realtime stock matkomp & FG (all plant);2020;63.000.000; IDR ;08/07/2020 10:11;DIGITAL;63.000.000;;Digitalization;;08/07/2020 10:11
ASKI2020-060;Mold D26 ;2020; -   ; IDR ;08/07/2020 10:11;PROJECT;-5.677.000.000;;Project D26;;08/07/2020 10:11
